date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-10-01,milling cost (wheat),raymah,1626148.635239956,349117.30304702686,al mahwit,1710572.7821730792,343747.8114166759,0.9248047000000001,6.1143265,5.1895218,0.9248047000000001
2020-10-01,milling cost (wheat),raymah,1626148.635239956,349117.30304702686,dhamar,1607976.2967569984,434812.9555183367,0.7702083999999996,6.1143265,5.3441181,0.7702083999999996
2020-10-01,milling cost (wheat),raymah,1626148.635239956,349117.30304702686,amanat al asimah,1696998.714254215,413747.54216314765,0.10523749999999943,6.1143265,6.009089,0.10523749999999943
2020-10-01,milling cost (wheat),raymah,1626148.635239956,349117.30304702686,ibb,1545240.393413971,411980.9012852698,2.4441461,6.1143265,8.5584726,2.4441461
2020-10-01,milling cost (wheat),sana'a,1683424.5251799258,444268.5254077898,amanat al asimah,1696998.714254215,413747.54216314765,1.5214529000000008,4.4876361,6.009089,1.5214529000000008
2020-10-01,milling cost (wheat),sana'a,1683424.5251799258,444268.5254077898,amran,1731425.0945279438,386679.5361423165,0.9668156999999997,4.4876361,3.5208204,0.9668156999999997
2020-10-01,milling cost (wheat),sana'a,1683424.5251799258,444268.5254077898,dhamar,1607976.2967569984,434812.9555183367,0.8564820000000006,4.4876361,5.3441181,0.8564820000000006
2020-10-01,milling cost (wheat),sana'a,1683424.5251799258,444268.5254077898,marib,1709755.4170365373,535024.7951991099,1.4170555999999994,4.4876361,3.0705805,1.4170555999999994
2020-10-01,milling cost (wheat),sana'a,1683424.5251799258,444268.5254077898,al mahwit,1710572.7821730792,343747.8114166759,0.7018857000000001,4.4876361,5.1895218,0.7018857000000001
2020-10-01,milling cost (wheat),shabwah,1607083.403143805,699110.4581984302,al bayda,1545869.2668154777,562191.4482966167,3.2788935,3.8657441,7.1446376,3.2788935
2020-10-01,milling cost (wheat),shabwah,1607083.403143805,699110.4581984302,marib,1709755.4170365373,535024.7951991099,0.7951636,3.8657441,3.0705805,0.7951636
2020-10-01,milling cost (wheat),shabwah,1607083.403143805,699110.4581984302,abyan,1451453.433761742,540930.338796394,0.15612290000000018,3.8657441,3.7096212,0.15612290000000018
2020-10-01,milling cost (wheat),shabwah,1607083.403143805,699110.4581984302,hadramaut,1688561.031182205,925529.1179596668,1.0149307000000003,3.8657441,4.8806748,1.0149307000000003
2020-10-01,milling cost (wheat),shabwah,1607083.403143805,699110.4581984302,al dhale'e,1514911.5982678996,470879.9633936708,1.6226644999999995,3.8657441,5.4884086,1.6226644999999995
2020-10-01,milling cost (wheat),socotra,1415534.3742756257,1484659.5682649969,hadramaut,1688561.031182205,925529.1179596668,4.8806748,0.0,4.8806748,4.8806748
2020-10-01,milling cost (wheat),socotra,1415534.3742756257,1484659.5682649969,shabwah,1607083.403143805,699110.4581984302,3.8657441,0.0,3.8657441,3.8657441
2020-10-01,milling cost (wheat),socotra,1415534.3742756257,1484659.5682649969,al bayda,1545869.2668154777,562191.4482966167,7.1446376,0.0,7.1446376,7.1446376
2020-10-01,milling cost (wheat),socotra,1415534.3742756257,1484659.5682649969,abyan,1451453.433761742,540930.338796394,3.7096212,0.0,3.7096212,3.7096212
