source,source_lat,source_lng,target,target_lat,target_lng,weight
abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,43.50547039787234
abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,43.50547039787234
abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,43.50547039787234
abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,43.50547039787234
abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,43.50547039787234
aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,39.222600719148936
aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,39.222600719148936
aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,39.222600719148936
aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,39.222600719148936
aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,39.222600719148936
al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,42.236456517021274
al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,42.236456517021274
al bayda,1545869.2668154777,562191.4482966167,lahj,1443403.357394038,487346.6774931812,42.236456517021274
al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,42.236456517021274
al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,42.236456517021274
al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,34.62730818085107
al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,34.62730818085107
al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,34.62730818085107
al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,34.62730818085107
al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,34.62730818085107
al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,28.444220019148936
al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,28.444220019148936
al hudaydah,1636434.4562545866,279153.2519347584,hajjah,1735805.5042575903,351073.2264011586,28.444220019148936
al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,28.444220019148936
al hudaydah,1636434.4562545866,279153.2519347584,amanat al asimah,1696998.714254215,413747.54216314765,28.444220019148936
al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,33.143390838297876
al jawf,1787696.8583625571,476286.69293194957,amran,1731425.0945279438,386679.5361423165,33.143390838297876
al jawf,1787696.8583625571,476286.69293194957,sana'a,1683424.5251799258,444268.5254077898,33.143390838297876
al jawf,1787696.8583625571,476286.69293194957,amanat al asimah,1696998.714254215,413747.54216314765,33.143390838297876
al jawf,1787696.8583625571,476286.69293194957,hajjah,1735805.5042575903,351073.2264011586,33.143390838297876
al maharah,1805664.967681152,1269216.867839362,hadramaut,1688561.031182205,925529.1179596668,44.827711708510634
al maharah,1805664.967681152,1269216.867839362,socotra,1415534.3742756257,1484659.5682649969,44.827711708510634
al maharah,1805664.967681152,1269216.867839362,shabwah,1607083.403143805,699110.4581984302,44.827711708510634
al maharah,1805664.967681152,1269216.867839362,marib,1709755.4170365373,535024.7951991099,44.827711708510634
al maharah,1805664.967681152,1269216.867839362,al bayda,1545869.2668154777,562191.4482966167,44.827711708510634
al mahwit,1710572.7821730792,343747.8114166759,hajjah,1735805.5042575903,351073.2264011586,28.652851168085107
al mahwit,1710572.7821730792,343747.8114166759,amran,1731425.0945279438,386679.5361423165,28.652851168085107
al mahwit,1710572.7821730792,343747.8114166759,amanat al asimah,1696998.714254215,413747.54216314765,28.652851168085107
al mahwit,1710572.7821730792,343747.8114166759,raymah,1626148.635239956,349117.30304702686,28.652851168085107
al mahwit,1710572.7821730792,343747.8114166759,al hudaydah,1636434.4562545866,279153.2519347584,28.652851168085107
amanat al asimah,1696998.714254215,413747.54216314765,sana'a,1683424.5251799258,444268.5254077898,26.082664572340427
amanat al asimah,1696998.714254215,413747.54216314765,amran,1731425.0945279438,386679.5361423165,26.082664572340427
amanat al asimah,1696998.714254215,413747.54216314765,al mahwit,1710572.7821730792,343747.8114166759,26.082664572340427
amanat al asimah,1696998.714254215,413747.54216314765,hajjah,1735805.5042575903,351073.2264011586,26.082664572340427
amanat al asimah,1696998.714254215,413747.54216314765,dhamar,1607976.2967569984,434812.9555183367,26.082664572340427
amran,1731425.0945279438,386679.5361423165,hajjah,1735805.5042575903,351073.2264011586,29.356275678723406
amran,1731425.0945279438,386679.5361423165,amanat al asimah,1696998.714254215,413747.54216314765,29.356275678723406
amran,1731425.0945279438,386679.5361423165,al mahwit,1710572.7821730792,343747.8114166759,29.356275678723406
amran,1731425.0945279438,386679.5361423165,sana'a,1683424.5251799258,444268.5254077898,29.356275678723406
amran,1731425.0945279438,386679.5361423165,al jawf,1787696.8583625571,476286.69293194957,29.356275678723406
dhamar,1607976.2967569984,434812.9555183367,ibb,1545240.393413971,411980.9012852698,34.49503898297873
dhamar,1607976.2967569984,434812.9555183367,sana'a,1683424.5251799258,444268.5254077898,34.49503898297873
dhamar,1607976.2967569984,434812.9555183367,raymah,1626148.635239956,349117.30304702686,34.49503898297873
dhamar,1607976.2967569984,434812.9555183367,amanat al asimah,1696998.714254215,413747.54216314765,34.49503898297873
dhamar,1607976.2967569984,434812.9555183367,al dhale'e,1514911.5982678996,470879.9633936708,34.49503898297873
hadramaut,1688561.031182205,925529.1179596668,shabwah,1607083.403143805,699110.4581984302,40.43063663191489
hadramaut,1688561.031182205,925529.1179596668,al maharah,1805664.967681152,1269216.867839362,40.43063663191489
hadramaut,1688561.031182205,925529.1179596668,al bayda,1545869.2668154777,562191.4482966167,40.43063663191489
hadramaut,1688561.031182205,925529.1179596668,marib,1709755.4170365373,535024.7951991099,40.43063663191489
hadramaut,1688561.031182205,925529.1179596668,abyan,1451453.433761742,540930.338796394,40.43063663191489
hajjah,1735805.5042575903,351073.2264011586,al mahwit,1710572.7821730792,343747.8114166759,28.28828973191489
hajjah,1735805.5042575903,351073.2264011586,amran,1731425.0945279438,386679.5361423165,28.28828973191489
hajjah,1735805.5042575903,351073.2264011586,amanat al asimah,1696998.714254215,413747.54216314765,28.28828973191489
hajjah,1735805.5042575903,351073.2264011586,sana'a,1683424.5251799258,444268.5254077898,28.28828973191489
hajjah,1735805.5042575903,351073.2264011586,raymah,1626148.635239956,349117.30304702686,28.28828973191489
ibb,1545240.393413971,411980.9012852698,taizz,1501490.1068909634,393975.03232055355,36.89250208510638
ibb,1545240.393413971,411980.9012852698,al dhale'e,1514911.5982678996,470879.9633936708,36.89250208510638
ibb,1545240.393413971,411980.9012852698,dhamar,1607976.2967569984,434812.9555183367,36.89250208510638
ibb,1545240.393413971,411980.9012852698,raymah,1626148.635239956,349117.30304702686,36.89250208510638
ibb,1545240.393413971,411980.9012852698,lahj,1443403.357394038,487346.6774931812,36.89250208510638
lahj,1443403.357394038,487346.6774931812,aden,1413414.8996473695,502024.6752111473,42.49318615744681
lahj,1443403.357394038,487346.6774931812,abyan,1451453.433761742,540930.338796394,42.49318615744681
lahj,1443403.357394038,487346.6774931812,al dhale'e,1514911.5982678996,470879.9633936708,42.49318615744681
lahj,1443403.357394038,487346.6774931812,taizz,1501490.1068909634,393975.03232055355,42.49318615744681
lahj,1443403.357394038,487346.6774931812,ibb,1545240.393413971,411980.9012852698,42.49318615744681
marib,1709755.4170365373,535024.7951991099,sana'a,1683424.5251799258,444268.5254077898,29.540952189361704
marib,1709755.4170365373,535024.7951991099,al jawf,1787696.8583625571,476286.69293194957,29.540952189361704
marib,1709755.4170365373,535024.7951991099,amanat al asimah,1696998.714254215,413747.54216314765,29.540952189361704
marib,1709755.4170365373,535024.7951991099,dhamar,1607976.2967569984,434812.9555183367,29.540952189361704
marib,1709755.4170365373,535024.7951991099,amran,1731425.0945279438,386679.5361423165,29.540952189361704
raymah,1626148.635239956,349117.30304702686,al hudaydah,1636434.4562545866,279153.2519347584,28.528696661702128
raymah,1626148.635239956,349117.30304702686,al mahwit,1710572.7821730792,343747.8114166759,28.528696661702128
raymah,1626148.635239956,349117.30304702686,dhamar,1607976.2967569984,434812.9555183367,28.528696661702128
raymah,1626148.635239956,349117.30304702686,amanat al asimah,1696998.714254215,413747.54216314765,28.528696661702128
raymah,1626148.635239956,349117.30304702686,ibb,1545240.393413971,411980.9012852698,28.528696661702128
sana'a,1683424.5251799258,444268.5254077898,amanat al asimah,1696998.714254215,413747.54216314765,32.46856589361702
sana'a,1683424.5251799258,444268.5254077898,amran,1731425.0945279438,386679.5361423165,32.46856589361702
sana'a,1683424.5251799258,444268.5254077898,dhamar,1607976.2967569984,434812.9555183367,32.46856589361702
sana'a,1683424.5251799258,444268.5254077898,marib,1709755.4170365373,535024.7951991099,32.46856589361702
sana'a,1683424.5251799258,444268.5254077898,al mahwit,1710572.7821730792,343747.8114166759,32.46856589361702
shabwah,1607083.403143805,699110.4581984302,al bayda,1545869.2668154777,562191.4482966167,40.65294227021276
shabwah,1607083.403143805,699110.4581984302,marib,1709755.4170365373,535024.7951991099,40.65294227021276
shabwah,1607083.403143805,699110.4581984302,abyan,1451453.433761742,540930.338796394,40.65294227021276
shabwah,1607083.403143805,699110.4581984302,hadramaut,1688561.031182205,925529.1179596668,40.65294227021276
shabwah,1607083.403143805,699110.4581984302,al dhale'e,1514911.5982678996,470879.9633936708,40.65294227021276
socotra,1415534.3742756257,1484659.5682649969,al maharah,1805664.967681152,1269216.867839362,38.445001961702125
socotra,1415534.3742756257,1484659.5682649969,hadramaut,1688561.031182205,925529.1179596668,38.445001961702125
socotra,1415534.3742756257,1484659.5682649969,shabwah,1607083.403143805,699110.4581984302,38.445001961702125
socotra,1415534.3742756257,1484659.5682649969,al bayda,1545869.2668154777,562191.4482966167,38.445001961702125
socotra,1415534.3742756257,1484659.5682649969,abyan,1451453.433761742,540930.338796394,38.445001961702125
taizz,1501490.1068909634,393975.03232055355,ibb,1545240.393413971,411980.9012852698,34.85383937021277
taizz,1501490.1068909634,393975.03232055355,al dhale'e,1514911.5982678996,470879.9633936708,34.85383937021277
taizz,1501490.1068909634,393975.03232055355,lahj,1443403.357394038,487346.6774931812,34.85383937021277
taizz,1501490.1068909634,393975.03232055355,dhamar,1607976.2967569984,434812.9555183367,34.85383937021277
taizz,1501490.1068909634,393975.03232055355,raymah,1626148.635239956,349117.30304702686,34.85383937021277
