region_id,date,avg_conflict_intensity
abyan,2020-07-01,7.2964134000000005
abyan,2020-08-01,8.050703
abyan,2020-09-01,7.080026599999999
abyan,2020-10-01,7.166266
abyan,2020-11-01,9.2222691
abyan,2020-12-01,8.2615261
abyan,2021-01-01,4.4773369
abyan,2021-02-01,5.480639
abyan,2021-03-01,6.182084999999999
abyan,2021-04-01,6.9421568
abyan,2021-05-01,5.0238805
abyan,2021-06-01,4.4773369
abyan,2021-07-01,6.0354815
abyan,2021-08-01,4.6539602
abyan,2021-09-01,5.768321
abyan,2021-10-01,2.4849067
abyan,2021-11-01,4.0943446
abyan,2021-12-01,4.7874918
abyan,2022-01-01,5.7170277
abyan,2022-02-01,5.4116459
abyan,2022-03-01,6.4692502
abyan,2022-04-01,3.2958369
abyan,2022-05-01,3.4965076
abyan,2022-06-01,6.0520892
abyan,2022-07-01,2.8903718
abyan,2022-08-01,4.9052749
abyan,2022-09-01,8.0149965
abyan,2022-10-01,7.154615399999999
abyan,2022-11-01,7.4085307
abyan,2022-12-01,6.7334018
abyan,2023-01-01,6.553933600000001
abyan,2023-02-01,6.2538290000000005
abyan,2023-03-01,6.6280413
abyan,2023-04-01,6.0306854
abyan,2023-05-01,6.4583383
abyan,2023-06-01,5.4116459
abyan,2023-07-01,8.0023594
abyan,2023-08-01,7.6343374
abyan,2023-09-01,7.52564
abyan,2023-10-01,5.8861041
abyan,2023-11-01,4.0253515
abyan,2023-12-01,1.9459101
abyan,2024-01-01,5.0751739
abyan,2024-02-01,4.8362818
abyan,2024-03-01,5.5333896
abyan,2024-04-01,6.3243589
abyan,2024-05-01,3.8066626000000006
aden,2020-07-01,5.8081427
aden,2020-08-01,6.8023949
aden,2020-09-01,5.556828
aden,2020-10-01,6.0402546
aden,2020-11-01,6.2915692
aden,2020-12-01,7.4395595
aden,2021-01-01,5.57973
aden,2021-02-01,5.9914646
aden,2021-03-01,5.480639
aden,2021-04-01,5.5529594
aden,2021-05-01,3.9889841
aden,2021-06-01,5.8230457
aden,2021-07-01,3.1780539
aden,2021-08-01,4.8202815
aden,2021-09-01,7.0066953
aden,2021-10-01,6.8490663
aden,2021-11-01,5.6094718
aden,2021-12-01,4.7004805
aden,2022-01-01,4.8903489
aden,2022-02-01,4.7361984
aden,2022-03-01,5.6629605
aden,2022-04-01,2.6390574
aden,2022-05-01,5.2781148
aden,2022-06-01,5.5984221
aden,2022-07-01,5.7807436
aden,2022-08-01,4.4308167
aden,2022-09-01,2.6390574
aden,2022-10-01,2.0794415
aden,2022-11-01,4.4998097
aden,2022-12-01,3.6888795
aden,2023-01-01,3.6375860999999996
aden,2023-02-01,6.4707994
aden,2023-03-01,5.1929569
aden,2023-04-01,3.5553482
aden,2023-05-01,2.7080503
aden,2023-06-01,5.1647859
aden,2023-07-01,3.6109178000000006
aden,2023-08-01,5.1059456
aden,2023-09-01,5.8861041
aden,2023-10-01,3.4965076
aden,2023-11-01,4.6539602
aden,2023-12-01,4.5538769
aden,2024-01-01,3.9120231
aden,2024-02-01,3.6635616000000004
aden,2024-03-01,2.8903718
aden,2024-04-01,3.1780539
aden,2024-05-01,4.8121843
al bayda,2020-07-01,7.7698011
al bayda,2020-08-01,10.358504
al bayda,2020-09-01,8.7438507
al bayda,2020-10-01,6.89467
al bayda,2020-11-01,7.2211051
al bayda,2020-12-01,5.6524892
al bayda,2021-01-01,7.5755849
al bayda,2021-02-01,3.583519
al bayda,2021-03-01,7.2276626
al bayda,2021-04-01,6.709304300000001
al bayda,2021-05-01,7.3975616
al bayda,2021-06-01,5.480639
al bayda,2021-07-01,10.774948
al bayda,2021-08-01,7.601402300000001
al bayda,2021-09-01,7.643961899999999
al bayda,2021-10-01,5.2729998
al bayda,2021-11-01,8.5686464
al bayda,2021-12-01,2.0794415
al bayda,2022-01-01,8.7347212
al bayda,2022-02-01,5.7745514
al bayda,2022-03-01,6.8585649
al bayda,2022-04-01,5.2311087
al bayda,2022-05-01,5.1357985
al bayda,2022-06-01,5.2574954
al bayda,2022-07-01,6.2383246
al bayda,2022-08-01,4.6443911
al bayda,2022-09-01,4.2766662
al bayda,2022-10-01,4.3944492
al bayda,2022-11-01,2.9957323
al bayda,2022-12-01,4.2766662
al bayda,2023-01-01,4.1743875
al bayda,2023-02-01,4.5849676
