,region_id,date,avg_usdprice
count,987,987,987.0
unique,21,47,
top,abyan,2020-07-31,
freq,47,21,
mean,,,7.4195808917191455
std,,,4.396950209987594
min,,,1.0303904861904762
25%,,,4.782494554857143
50%,,,6.9181523204761906
75%,,,10.029615204642857
max,,,22.73332674
