,region_id,date,price_change_pct
count,987,987,987.0
unique,21,47,
top,abyan,2020-07-31,
freq,47,21,
mean,,,179.34726179096037
std,,,59.575402386682036
min,,,71.21727927325712
25%,,,138.49789279576459
50%,,,167.71605988345263
75%,,,210.5744690204743
max,,,474.9719444011061
