2024-10-14 17:22:22,444 - DEBUG - Prepared data for ("al dhale'e", 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,446 - DEBUG - Prepared data for ("al dhale'e", 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,447 - DEBUG - Prepared data for ("al dhale'e", 'fuel (gas)'): 47 records
2024-10-14 17:22:22,448 - DEBUG - Prepared data for ("al dhale'e", 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,449 - DEBUG - Prepared data for ("al dhale'e", 'lentils'): 46 records
2024-10-14 17:22:22,450 - DEBUG - Prepared data for ("al dhale'e", 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,452 - DEBUG - Prepared data for ("al dhale'e", 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,454 - DEBUG - Prepared data for ("al dhale'e", 'onions'): 47 records
2024-10-14 17:22:22,456 - DEBUG - Prepared data for ("al dhale'e", 'potatoes'): 47 records
2024-10-14 17:22:22,457 - DEBUG - Prepared data for ("al dhale'e", 'rice (imported)'): 47 records
2024-10-14 17:22:22,458 - DEBUG - Prepared data for ("al dhale'e", 'salt'): 47 records
2024-10-14 17:22:22,460 - DEBUG - Prepared data for ("al dhale'e", 'sugar'): 47 records
2024-10-14 17:22:22,463 - DEBUG - Prepared data for ("al dhale'e", 'tomatoes'): 47 records
2024-10-14 17:22:22,464 - DEBUG - Prepared data for ("al dhale'e", 'wheat'): 47 records
2024-10-14 17:22:22,466 - DEBUG - Prepared data for ("al dhale'e", 'wheat flour'): 47 records
2024-10-14 17:22:22,467 - DEBUG - Prepared data for ('al hudaydah', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,468 - DEBUG - Prepared data for ('al hudaydah', 'beans (white)'): 47 records
2024-10-14 17:22:22,470 - DEBUG - Prepared data for ('al hudaydah', 'eggs'): 47 records
2024-10-14 17:22:22,471 - DEBUG - Prepared data for ('al hudaydah', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,472 - DEBUG - Prepared data for ('al hudaydah', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,473 - DEBUG - Prepared data for ('al hudaydah', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,475 - DEBUG - Prepared data for ('al hudaydah', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,476 - DEBUG - Prepared data for ('al hudaydah', 'lentils'): 47 records
2024-10-14 17:22:22,478 - DEBUG - Prepared data for ('al hudaydah', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,480 - DEBUG - Prepared data for ('al hudaydah', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,481 - DEBUG - Prepared data for ('al hudaydah', 'onions'): 47 records
2024-10-14 17:22:22,482 - DEBUG - Prepared data for ('al hudaydah', 'potatoes'): 47 records
2024-10-14 17:22:22,483 - DEBUG - Prepared data for ('al hudaydah', 'rice (imported)'): 47 records
2024-10-14 17:22:22,484 - DEBUG - Prepared data for ('al hudaydah', 'salt'): 47 records
2024-10-14 17:22:22,485 - DEBUG - Prepared data for ('al hudaydah', 'sugar'): 47 records
2024-10-14 17:22:22,488 - DEBUG - Prepared data for ('al hudaydah', 'tomatoes'): 47 records
2024-10-14 17:22:22,489 - DEBUG - Prepared data for ('al hudaydah', 'wheat'): 47 records
2024-10-14 17:22:22,490 - DEBUG - Prepared data for ('al hudaydah', 'wheat flour'): 47 records
2024-10-14 17:22:22,491 - DEBUG - Prepared data for ('al jawf', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,492 - DEBUG - Prepared data for ('al jawf', 'beans (white)'): 47 records
2024-10-14 17:22:22,493 - DEBUG - Prepared data for ('al jawf', 'eggs'): 47 records
2024-10-14 17:22:22,494 - DEBUG - Prepared data for ('al jawf', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,496 - DEBUG - Prepared data for ('al jawf', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,497 - DEBUG - Prepared data for ('al jawf', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,497 - DEBUG - Prepared data for ('al jawf', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,498 - DEBUG - Prepared data for ('al jawf', 'lentils'): 47 records
2024-10-14 17:22:22,499 - DEBUG - Prepared data for ('al jawf', 'milling cost (wheat)'): 47 records
2024-10-14 17:22:22,500 - DEBUG - Prepared data for ('al jawf', 'oil (vegetable)'): 47 records
2024-10-14 17:22:22,501 - DEBUG - Prepared data for ('al jawf', 'onions'): 47 records
2024-10-14 17:22:22,503 - DEBUG - Prepared data for ('al jawf', 'potatoes'): 47 records
2024-10-14 17:22:22,504 - DEBUG - Prepared data for ('al jawf', 'rice (imported)'): 47 records
2024-10-14 17:22:22,505 - DEBUG - Prepared data for ('al jawf', 'salt'): 47 records
2024-10-14 17:22:22,506 - DEBUG - Prepared data for ('al jawf', 'sugar'): 47 records
2024-10-14 17:22:22,507 - DEBUG - Prepared data for ('al jawf', 'tomatoes'): 47 records
2024-10-14 17:22:22,507 - DEBUG - Prepared data for ('al jawf', 'wheat'): 47 records
2024-10-14 17:22:22,509 - DEBUG - Prepared data for ('al jawf', 'wheat flour'): 47 records
2024-10-14 17:22:22,512 - DEBUG - Prepared data for ('al maharah', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,513 - DEBUG - Prepared data for ('al maharah', 'beans (white)'): 47 records
2024-10-14 17:22:22,514 - DEBUG - Prepared data for ('al maharah', 'eggs'): 47 records
2024-10-14 17:22:22,515 - DEBUG - Prepared data for ('al maharah', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,516 - DEBUG - Prepared data for ('al maharah', 'fuel (diesel)'): 47 records
2024-10-14 17:22:22,516 - DEBUG - Prepared data for ('al maharah', 'fuel (gas)'): 47 records
2024-10-14 17:22:22,518 - DEBUG - Prepared data for ('al maharah', 'fuel (petrol-gasoline)'): 47 records
2024-10-14 17:22:22,519 - DEBUG - Prepared data for ('al maharah', 'lentils'): 47 records
2024-10-14 17:22:22,521 - DEBUG - Prepared data for ('al maharah', 'oil (vegetable)'): 47 records
