region_id,date,avg_usdprice
al dhale'e,2021-02-01,6.8204908575
al dhale'e,2021-03-01,6.3669924045
al dhale'e,2021-04-01,5.856434634499999
al dhale'e,2021-05-01,6.0045152725
al dhale'e,2021-06-01,6.1336635355
al dhale'e,2021-07-01,5.800802279499999
al dhale'e,2021-08-01,5.9397850885
al dhale'e,2021-09-01,7.788808831999999
al dhale'e,2021-10-01,10.445545135500002
al dhale'e,2021-11-01,11.438244946000001
al dhale'e,2021-12-01,8.588331958000001
al dhale'e,2022-01-01,8.332820472105263
al dhale'e,2022-02-01,8.43511543
al dhale'e,2022-03-01,10.787365416
al dhale'e,2022-04-01,9.174947770500001
al dhale'e,2022-05-01,9.820532617000001
al dhale'e,2022-06-01,10.737590409500001
al dhale'e,2022-07-01,14.6893439075
al dhale'e,2022-08-01,15.4941500255
al dhale'e,2022-09-01,12.7274971595
al dhale'e,2022-10-01,12.267861737
al dhale'e,2022-11-01,12.001020718
al dhale'e,2022-12-01,11.582641843000001
al dhale'e,2023-01-01,11.262608377
al dhale'e,2023-02-01,11.4501020765
al dhale'e,2023-03-01,10.8033986515
al dhale'e,2023-04-01,11.9777276515
al dhale'e,2023-05-01,12.0303140535
al dhale'e,2023-06-01,11.986252012
al dhale'e,2023-07-01,11.714251958
al dhale'e,2023-08-01,11.712729859000001
al dhale'e,2023-09-01,12.540200644
al dhale'e,2023-10-01,12.086308649500001
al dhale'e,2023-11-01,12.108170955
al dhale'e,2023-12-01,16.438148832499998
al dhale'e,2024-01-01,16.216576558
al dhale'e,2024-02-01,16.346817042
al dhale'e,2024-03-01,15.7760572685
al dhale'e,2024-04-01,17.3300721955
al dhale'e,2024-05-01,18.671350259
al hudaydah,2020-07-01,4.0835487525
al hudaydah,2020-08-01,4.099050468
al hudaydah,2020-09-01,4.5786837215
al hudaydah,2020-10-01,4.133595054285714
al hudaydah,2020-11-01,4.216934703333333
al hudaydah,2020-12-01,4.053696193809524
al hudaydah,2021-01-01,4.9881938819047615
al hudaydah,2021-02-01,4.976375866666667
al hudaydah,2021-03-01,4.849825203809524
al hudaydah,2021-04-01,4.323813328095238
al hudaydah,2021-05-01,4.296222169523809
al hudaydah,2021-06-01,4.35329976952381
al hudaydah,2021-07-01,4.263682984761905
al hudaydah,2021-08-01,4.535562375238095
al hudaydah,2021-09-01,5.141597803809524
al hudaydah,2021-10-01,6.55344313
al hudaydah,2021-11-01,6.62841895047619
