date,commodity,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2020-07-01,beans (white),abyan,1451453.433761742,540930.338796394,lahj,1443403.357394038,487346.6774931812,0.5505687999999997,1.5145295,2.0650983,0.5505687999999997
2020-07-01,beans (white),abyan,1451453.433761742,540930.338796394,aden,1413414.8996473695,502024.6752111473,0.9385835999999999,1.5145295,2.4531131,0.9385835999999999
2020-07-01,beans (white),abyan,1451453.433761742,540930.338796394,al dhale'e,1514911.5982678996,470879.9633936708,0.27481869999999997,1.5145295,1.7893482,0.27481869999999997
2020-07-01,beans (white),abyan,1451453.433761742,540930.338796394,al bayda,1545869.2668154777,562191.4482966167,0.6098292000000001,1.5145295,2.1243587,0.6098292000000001
2020-07-01,beans (white),abyan,1451453.433761742,540930.338796394,taizz,1501490.1068909634,393975.03232055355,1.3525991,1.5145295,2.8671286,1.3525991
2020-07-01,beans (white),aden,1413414.8996473695,502024.6752111473,lahj,1443403.357394038,487346.6774931812,0.3880148000000001,2.4531131,2.0650983,0.3880148000000001
2020-07-01,beans (white),aden,1413414.8996473695,502024.6752111473,abyan,1451453.433761742,540930.338796394,0.9385835999999999,2.4531131,1.5145295,0.9385835999999999
2020-07-01,beans (white),aden,1413414.8996473695,502024.6752111473,al dhale'e,1514911.5982678996,470879.9633936708,0.6637648999999999,2.4531131,1.7893482,0.6637648999999999
2020-07-01,beans (white),aden,1413414.8996473695,502024.6752111473,taizz,1501490.1068909634,393975.03232055355,0.4140155000000001,2.4531131,2.8671286,0.4140155000000001
2020-07-01,beans (white),aden,1413414.8996473695,502024.6752111473,al bayda,1545869.2668154777,562191.4482966167,0.3287543999999998,2.4531131,2.1243587,0.3287543999999998
2020-07-01,beans (white),al bayda,1545869.2668154777,562191.4482966167,al dhale'e,1514911.5982678996,470879.9633936708,0.3350105000000001,2.1243587,1.7893482,0.3350105000000001
2020-07-01,beans (white),al bayda,1545869.2668154777,562191.4482966167,abyan,1451453.433761742,540930.338796394,0.6098292000000001,2.1243587,1.5145295,0.6098292000000001
2020-07-01,beans (white),al bayda,1545869.2668154777,562191.4482966167,dhamar,1607976.2967569984,434812.9555183367,0.8440146000000002,2.1243587,1.2803441,0.8440146000000002
2020-07-01,beans (white),al bayda,1545869.2668154777,562191.4482966167,aden,1413414.8996473695,502024.6752111473,0.3287543999999998,2.1243587,2.4531131,0.3287543999999998
2020-07-01,beans (white),al dhale'e,1514911.5982678996,470879.9633936708,ibb,1545240.393413971,411980.9012852698,0.392266,1.7893482,1.3970822,0.392266
2020-07-01,beans (white),al dhale'e,1514911.5982678996,470879.9633936708,lahj,1443403.357394038,487346.6774931812,0.2757500999999998,1.7893482,2.0650983,0.2757500999999998
2020-07-01,beans (white),al dhale'e,1514911.5982678996,470879.9633936708,taizz,1501490.1068909634,393975.03232055355,1.0777804,1.7893482,2.8671286,1.0777804
2020-07-01,beans (white),al dhale'e,1514911.5982678996,470879.9633936708,abyan,1451453.433761742,540930.338796394,0.27481869999999997,1.7893482,1.5145295,0.27481869999999997
2020-07-01,beans (white),al dhale'e,1514911.5982678996,470879.9633936708,al bayda,1545869.2668154777,562191.4482966167,0.3350105000000001,1.7893482,2.1243587,0.3350105000000001
2020-07-01,beans (white),al hudaydah,1636434.4562545866,279153.2519347584,raymah,1626148.635239956,349117.30304702686,0.68539162,0.95645458,1.6418462,0.68539162
2020-07-01,beans (white),al hudaydah,1636434.4562545866,279153.2519347584,al mahwit,1710572.7821730792,343747.8114166759,0.30741847,0.95645458,0.64903611,0.30741847
2020-07-01,beans (white),al hudaydah,1636434.4562545866,279153.2519347584,amran,1731425.0945279438,386679.5361423165,0.13659978000000006,0.95645458,0.8198548,0.13659978000000006
2020-07-01,beans (white),al hudaydah,1636434.4562545866,279153.2519347584,amanat al asimah,1696998.714254215,413747.54216314765,0.7494743199999999,0.95645458,1.7059289,0.7494743199999999
2020-07-01,beans (white),al jawf,1787696.8583625571,476286.69293194957,marib,1709755.4170365373,535024.7951991099,0.8907796000000001,2.4218519,1.5310723,0.8907796000000001
2020-07-01,beans (white),al jawf,1787696.8583625571,476286.69293194957,amran,1731425.0945279438,386679.5361423165,1.6019971000000002,2.4218519,0.8198548,1.6019971000000002
2020-07-01,beans (white),al jawf,1787696.8583625571,476286.69293194957,sana'a,1683424.5251799258,444268.5254077898,0.6800928000000002,2.4218519,1.7417591,0.6800928000000002
2020-07-01,beans (white),al jawf,1787696.8583625571,476286.69293194957,amanat al asimah,1696998.714254215,413747.54216314765,0.7159230000000001,2.4218519,1.7059289,0.7159230000000001
2020-07-01,beans (white),al jawf,1787696.8583625571,476286.69293194957,hajjah,1735805.5042575903,351073.2264011586,1.55791786,2.4218519,0.86393404,1.55791786
2020-07-01,beans (white),al maharah,1805664.967681152,1269216.867839362,hadramaut,1688561.031182205,925529.1179596668,0.8499279,3.2898695,2.4399416,0.8499279
2020-07-01,beans (white),al maharah,1805664.967681152,1269216.867839362,socotra,1415534.3742756257,1484659.5682649969,3.2898695,3.2898695,0.0,3.2898695
2020-07-01,beans (white),al maharah,1805664.967681152,1269216.867839362,shabwah,1607083.403143805,699110.4581984302,1.7902401000000001,3.2898695,1.4996294,1.7902401000000001
2020-07-01,beans (white),al maharah,1805664.967681152,1269216.867839362,marib,1709755.4170365373,535024.7951991099,1.7587972,3.2898695,1.5310723,1.7587972
2020-07-01,beans (white),al maharah,1805664.967681152,1269216.867839362,al bayda,1545869.2668154777,562191.4482966167,1.1655107999999998,3.2898695,2.1243587,1.1655107999999998
2020-07-01,beans (white),al mahwit,1710572.7821730792,343747.8114166759,hajjah,1735805.5042575903,351073.2264011586,0.2148979299999999,0.64903611,0.86393404,0.2148979299999999
2020-07-01,beans (white),al mahwit,1710572.7821730792,343747.8114166759,amran,1731425.0945279438,386679.5361423165,0.17081868999999994,0.64903611,0.8198548,0.17081868999999994
2020-07-01,beans (white),al mahwit,1710572.7821730792,343747.8114166759,amanat al asimah,1696998.714254215,413747.54216314765,1.05689279,0.64903611,1.7059289,1.05689279
2020-07-01,beans (white),al mahwit,1710572.7821730792,343747.8114166759,raymah,1626148.635239956,349117.30304702686,0.99281009,0.64903611,1.6418462,0.99281009
2020-07-01,beans (white),al mahwit,1710572.7821730792,343747.8114166759,al hudaydah,1636434.4562545866,279153.2519347584,0.30741847,0.64903611,0.95645458,0.30741847
2020-07-01,beans (white),amanat al asimah,1696998.714254215,413747.54216314765,amran,1731425.0945279438,386679.5361423165,0.8860741,1.7059289,0.8198548,0.8860741
2020-07-01,beans (white),amanat al asimah,1696998.714254215,413747.54216314765,al mahwit,1710572.7821730792,343747.8114166759,1.05689279,1.7059289,0.64903611,1.05689279
2020-07-01,beans (white),amanat al asimah,1696998.714254215,413747.54216314765,hajjah,1735805.5042575903,351073.2264011586,0.84199486,1.7059289,0.86393404,0.84199486
2020-07-01,beans (white),amanat al asimah,1696998.714254215,413747.54216314765,dhamar,1607976.2967569984,434812.9555183367,0.4255848,1.7059289,1.2803441,0.4255848
2020-07-01,beans (white),amran,1731425.0945279438,386679.5361423165,amanat al asimah,1696998.714254215,413747.54216314765,0.8860741,0.8198548,1.7059289,0.8860741
2020-07-01,beans (white),amran,1731425.0945279438,386679.5361423165,al mahwit,1710572.7821730792,343747.8114166759,0.17081868999999994,0.8198548,0.64903611,0.17081868999999994
2020-07-01,beans (white),amran,1731425.0945279438,386679.5361423165,sana'a,1683424.5251799258,444268.5254077898,0.9219042999999999,0.8198548,1.7417591,0.9219042999999999
2020-07-01,beans (white),amran,1731425.0945279438,386679.5361423165,al jawf,1787696.8583625571,476286.69293194957,1.6019971000000002,0.8198548,2.4218519,1.6019971000000002
2020-07-01,beans (white),dhamar,1607976.2967569984,434812.9555183367,ibb,1545240.393413971,411980.9012852698,0.11673810000000007,1.2803441,1.3970822,0.11673810000000007
2020-07-01,beans (white),dhamar,1607976.2967569984,434812.9555183367,sana'a,1683424.5251799258,444268.5254077898,0.4614149999999999,1.2803441,1.7417591,0.4614149999999999
2020-07-01,beans (white),dhamar,1607976.2967569984,434812.9555183367,raymah,1626148.635239956,349117.30304702686,0.36150210000000005,1.2803441,1.6418462,0.36150210000000005
2020-07-01,beans (white),dhamar,1607976.2967569984,434812.9555183367,amanat al asimah,1696998.714254215,413747.54216314765,0.4255848,1.2803441,1.7059289,0.4255848
2020-07-01,beans (white),dhamar,1607976.2967569984,434812.9555183367,al dhale'e,1514911.5982678996,470879.9633936708,0.5090041000000001,1.2803441,1.7893482,0.5090041000000001
2020-07-01,beans (white),hadramaut,1688561.031182205,925529.1179596668,shabwah,1607083.403143805,699110.4581984302,0.9403122000000002,2.4399416,1.4996294,0.9403122000000002
2020-07-01,beans (white),hadramaut,1688561.031182205,925529.1179596668,al maharah,1805664.967681152,1269216.867839362,0.8499279,2.4399416,3.2898695,0.8499279
2020-07-01,beans (white),hadramaut,1688561.031182205,925529.1179596668,al bayda,1545869.2668154777,562191.4482966167,0.3155828999999999,2.4399416,2.1243587,0.3155828999999999
2020-07-01,beans (white),hadramaut,1688561.031182205,925529.1179596668,marib,1709755.4170365373,535024.7951991099,0.9088693000000001,2.4399416,1.5310723,0.9088693000000001
2020-07-01,beans (white),hadramaut,1688561.031182205,925529.1179596668,abyan,1451453.433761742,540930.338796394,0.9254121,2.4399416,1.5145295,0.9254121
2020-07-01,beans (white),hajjah,1735805.5042575903,351073.2264011586,al mahwit,1710572.7821730792,343747.8114166759,0.2148979299999999,0.86393404,0.64903611,0.2148979299999999
2020-07-01,beans (white),hajjah,1735805.5042575903,351073.2264011586,amanat al asimah,1696998.714254215,413747.54216314765,0.84199486,0.86393404,1.7059289,0.84199486
2020-07-01,beans (white),hajjah,1735805.5042575903,351073.2264011586,sana'a,1683424.5251799258,444268.5254077898,0.8778250599999999,0.86393404,1.7417591,0.8778250599999999
2020-07-01,beans (white),hajjah,1735805.5042575903,351073.2264011586,raymah,1626148.635239956,349117.30304702686,0.7779121600000001,0.86393404,1.6418462,0.7779121600000001
2020-07-01,beans (white),ibb,1545240.393413971,411980.9012852698,taizz,1501490.1068909634,393975.03232055355,1.4700464,1.3970822,2.8671286,1.4700464
2020-07-01,beans (white),ibb,1545240.393413971,411980.9012852698,al dhale'e,1514911.5982678996,470879.9633936708,0.392266,1.3970822,1.7893482,0.392266
2020-07-01,beans (white),ibb,1545240.393413971,411980.9012852698,dhamar,1607976.2967569984,434812.9555183367,0.11673810000000007,1.3970822,1.2803441,0.11673810000000007
2020-07-01,beans (white),ibb,1545240.393413971,411980.9012852698,raymah,1626148.635239956,349117.30304702686,0.24476399999999998,1.3970822,1.6418462,0.24476399999999998
2020-07-01,beans (white),ibb,1545240.393413971,411980.9012852698,lahj,1443403.357394038,487346.6774931812,0.6680160999999998,1.3970822,2.0650983,0.6680160999999998
2020-07-01,beans (white),lahj,1443403.357394038,487346.6774931812,aden,1413414.8996473695,502024.6752111473,0.3880148000000001,2.0650983,2.4531131,0.3880148000000001
2020-07-01,beans (white),lahj,1443403.357394038,487346.6774931812,abyan,1451453.433761742,540930.338796394,0.5505687999999997,2.0650983,1.5145295,0.5505687999999997
