date,source,source_lat,source_lng,target,target_lat,target_lng,price_differential,source_price,target_price,flow_weight
2023-10-01,amanat al asimah,1696998.714254215,413747.54216314765,sana'a,1683424.5251799258,444268.5254077898,2.5199131251190474,7.6125728975,5.092659772380952,2.5199131251190474
2023-10-01,amanat al asimah,1696998.714254215,413747.54216314765,amran,1731425.0945279438,386679.5361423165,2.808767407023809,7.6125728975,4.803805490476191,2.808767407023809
2023-10-01,amanat al asimah,1696998.714254215,413747.54216314765,al mahwit,1710572.7821730792,343747.8114166759,2.8460000546428574,7.6125728975,4.766572842857142,2.8460000546428574
2023-10-01,amanat al asimah,1696998.714254215,413747.54216314765,hajjah,1735805.5042575903,351073.2264011586,2.0942811005,7.6125728975,5.518291797,2.0942811005
2023-10-01,amanat al asimah,1696998.714254215,413747.54216314765,dhamar,1607976.2967569984,434812.9555183367,2.631002395595238,7.6125728975,4.981570501904762,2.631002395595238
2023-10-01,amran,1731425.0945279438,386679.5361423165,hajjah,1735805.5042575903,351073.2264011586,0.714486306523809,4.803805490476191,5.518291797,0.714486306523809
2023-10-01,amran,1731425.0945279438,386679.5361423165,amanat al asimah,1696998.714254215,413747.54216314765,2.808767407023809,4.803805490476191,7.6125728975,2.808767407023809
2023-10-01,amran,1731425.0945279438,386679.5361423165,sana'a,1683424.5251799258,444268.5254077898,0.2888542819047615,4.803805490476191,5.092659772380952,0.2888542819047615
2023-10-01,amran,1731425.0945279438,386679.5361423165,al jawf,1787696.8583625571,476286.69293194957,1.47096303752381,4.803805490476191,6.274768528000001,1.47096303752381
2023-10-01,dhamar,1607976.2967569984,434812.9555183367,ibb,1545240.393413971,411980.9012852698,0.4072545300952388,4.981570501904762,5.388825032000001,0.4072545300952388
2023-10-01,dhamar,1607976.2967569984,434812.9555183367,sana'a,1683424.5251799258,444268.5254077898,0.11108927047619055,4.981570501904762,5.092659772380952,0.11108927047619055
2023-10-01,dhamar,1607976.2967569984,434812.9555183367,raymah,1626148.635239956,349117.30304702686,0.5759022361904762,4.981570501904762,5.557472738095238,0.5759022361904762
2023-10-01,dhamar,1607976.2967569984,434812.9555183367,amanat al asimah,1696998.714254215,413747.54216314765,2.631002395595238,4.981570501904762,7.6125728975,2.631002395595238
2023-10-01,dhamar,1607976.2967569984,434812.9555183367,al dhale'e,1514911.5982678996,470879.9633936708,7.104738147595239,4.981570501904762,12.086308649500001,7.104738147595239
2023-10-01,hadramaut,1688561.031182205,925529.1179596668,shabwah,1607083.403143805,699110.4581984302,0.4578876835000001,8.38442313,7.9265354465,0.4578876835000001
2023-10-01,hadramaut,1688561.031182205,925529.1179596668,al maharah,1805664.967681152,1269216.867839362,2.8557997905263157,8.38442313,11.240222920526316,2.8557997905263157
2023-10-01,hadramaut,1688561.031182205,925529.1179596668,al bayda,1545869.2668154777,562191.4482966167,2.6095170010000004,8.38442313,5.774906129,2.6095170010000004
2023-10-01,hadramaut,1688561.031182205,925529.1179596668,marib,1709755.4170365373,535024.7951991099,2.576079609499999,8.38442313,10.960502739499999,2.576079609499999
2023-10-01,hadramaut,1688561.031182205,925529.1179596668,abyan,1451453.433761742,540930.338796394,0.37696473523809537,8.38442313,8.761387865238095,0.37696473523809537
2023-10-01,hajjah,1735805.5042575903,351073.2264011586,al mahwit,1710572.7821730792,343747.8114166759,0.7517189541428575,5.518291797,4.766572842857142,0.7517189541428575
2023-10-01,hajjah,1735805.5042575903,351073.2264011586,amran,1731425.0945279438,386679.5361423165,0.714486306523809,5.518291797,4.803805490476191,0.714486306523809
2023-10-01,hajjah,1735805.5042575903,351073.2264011586,amanat al asimah,1696998.714254215,413747.54216314765,2.0942811005,5.518291797,7.6125728975,2.0942811005
2023-10-01,hajjah,1735805.5042575903,351073.2264011586,sana'a,1683424.5251799258,444268.5254077898,0.4256320246190475,5.518291797,5.092659772380952,0.4256320246190475
2023-10-01,ibb,1545240.393413971,411980.9012852698,taizz,1501490.1068909634,393975.03232055355,3.4122528018095233,5.388825032000001,8.801077833809524,3.4122528018095233
